,precision,recall,f1-score,support
Backdoor,0.9741,0.941,0.9572,1237.0
DDoS_HTTP,0.6655,0.8854,0.7599,1326.0
DDoS_ICMP,0.9965,0.9942,0.9953,1716.0
DDoS_TCP,1.0,0.9976,0.9988,1276.0
DDoS_UDP,0.9978,1.0,0.9989,1805.0
Fingerprinting,0.8256,0.6017,0.6961,118.0
MITM,1.0,1.0,1.0,52.0
Normal,0.9706,0.9899,0.9802,3068.0
Password,0.8151,0.7904,0.8026,1255.0
Port_Scanning,0.9462,0.9889,0.9671,1173.0
Ransomware,0.9488,0.9198,0.9341,1210.0
SQL_injection,0.8013,0.7455,0.7724,1336.0
Uploading,0.8564,0.7489,0.799,1322.0
Vulnerability_scanner,0.984,0.9608,0.9723,1277.0
XSS,0.8732,0.7908,0.83,1176.0
accuracy,0.9144,0.9144,0.9144,0.9144
macro avg,0.9103,0.8903,0.8976,19347.0
weighted avg,0.9184,0.9144,0.9147,19347.0
